smiles,ie,batch,time
O=C1CC(=O)N2CC12,14.361012674639937,1,16.7060215966776
CC1OC1C(=O)C=O,14.320936456054028,1,16.706038518808782
O=CN1C2C3C=CC2C13,14.037059889305478,1,16.706050781533122
O=CN1CCC(=O)C1,14.035552182240366,1,16.706063645891845
O=CC(=O)N1N=NN=N1,14.034498700361846,1,16.70607524830848
O=CC(=O)N1N=NN=N1,15.283113901902425,2,19.30899895261973
OC1C2NC2C1CC=O,14.559978659786342,2,19.309013409540057
CC(=O)CCC(C)(C)C,14.551002025039645,2,19.309024180285633
CC(=O)C(C)(O)CCO,14.55097087841233,2,19.30903350841254
NC(=O)C1C2CC1C2O,14.549052394230795,2,19.30904336553067
